ant,http://issues.apache.org/bugzilla/buglist.cgi?product=Ant
ant-antunit,http://issues.apache.org/bugzilla/buglist.cgi?product=Ant
ant-compress,http://issues.apache.org/bugzilla/buglist.cgi?product=Ant
ant-dotnet,http://issues.apache.org/bugzilla/buglist.cgi?product=Ant
ant-props,http://issues.apache.org/bugzilla/buglist.cgi?product=Ant
ant-vss,http://issues.apache.org/bugzilla/buglist.cgi?product=Ant
apr-portable_runtime,http://issues.apache.org/bugzilla/
attic-lenya,http://issues.apache.org/bugzilla/buglist.cgi?product=Lenya
attic-oro,http://http://issues.apache.org/bugzilla/buglist.cgi?product=ORO
attic-regexp,http://http://issues.apache.org/bugzilla/buglist.cgi?product=regexp
attic-xindice,http://issues.apache.org/bugzilla/buglist.cgi?query_format=specific&bug_status=__open__&product=Xindice
jmeter,http://issues.apache.org/bugzilla/
logging-chainsaw,http://issues.apache.org/bugzilla
logging-log4j,http://issues.apache.org/bugzilla
poi,https://issues.apache.org/bugzilla/buglist.cgi?product=POI
tcl-rivet,https://issues.apache.org/bugzilla/buglist.cgi?quicksearch=Rivet
tcl-websh,http://issues.apache.org/bugzilla/buglist.cgi?product=WebSH
tomcat-reusable_dialog_components__rdc__taglib,http://issues.apache.org/bugzilla/
